,Team1,Team2,city1,city2,airfare,coords1,coords2,dist,car_fare,fare,min_fare
48,Atlanta Braves,New York Yankees,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",197.11,"(33.73527778, -84.38944444)","(40.82916667, -73.92638889)",754.9567,68.99465397222222,197.11,68.99465397222222
49,Atlanta Braves,Oakland Athletics,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",319.22,"(33.73527778, -84.38944444)","(37.75166667, -122.2005556)",2124.6701,194.17123969444444,319.22,194.17123969444444
50,Atlanta Braves,Philadelphia Phillies,"Atlanta, GA (Metropolitan Area)","Philadelphia, PA",164.41,"(33.73527778, -84.38944444)","(39.90583333, -75.16638889)",664.3811,60.71705052777778,164.41,60.71705052777778
51,Atlanta Braves,Pittsburgh Pirates,"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",223.25,"(33.73527778, -84.38944444)","(40.44694444, -80.00583333)",522.8736,47.784837333333336,223.25,47.784837333333336
52,Atlanta Braves,San Diego Padres,"Atlanta, GA (Metropolitan Area)","San Diego, CA",325.9,"(33.73527778, -84.38944444)","(32.70729983, -117.1565998)",1887.9193,172.5348471388889,325.9,172.5348471388889
53,Atlanta Braves,San Francisco Giants,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",319.22,"(33.73527778, -84.38944444)","(37.77833333, -122.3894444)",2134.8295,195.0996959722222,319.22,195.0996959722222
54,Atlanta Braves,Seattle Mariners,"Atlanta, GA (Metropolitan Area)","Seattle, WA",322.49,"(33.73527778, -84.38944444)","(47.59138889, -122.3325)",2179.3294,199.1664923888889,322.49,199.1664923888889
55,Atlanta Braves,St. Louis Cardinals,"Atlanta, GA (Metropolitan Area)","St. Louis, MO",195.89,"(33.73527778, -84.38944444)","(38.6225, -90.19305556)",467.683,42.74102972222222,195.89,42.74102972222222
56,Atlanta Braves,Tampa Bay Rays,"Atlanta, GA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",185.36,"(33.73527778, -84.38944444)","(27.76833333, -82.65333333)",425.0786,38.84746094444445,185.36,38.84746094444445
57,Atlanta Braves,Texas Rangers,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",190.44,"(33.73527778, -84.38944444)","(32.75138889, -97.08277778)",736.4031,67.29906108333334,190.44,67.29906108333334
58,Atlanta Braves,Toronto Blue Jays,"Atlanta, GA (Metropolitan Area)","Buffalo, NY",227.34,"(33.73527778, -84.38944444)","(43.64138889, -79.38916667)",735.5135,67.21776152777778,227.34,67.21776152777778
59,Atlanta Braves,Washington Nationals,"Atlanta, GA (Metropolitan Area)","Washington, DC (Metropolitan Area)",170.84,"(33.73527778, -84.38944444)","(38.87277778, -77.0075)",542.9173,49.61660880555556,170.84,49.61660880555556
60,Baltimore Orioles,Arizona D'Backs,"Washington, DC (Metropolitan Area)","Phoenix, AZ",260.67,"(39.28388889, -76.62166667)","(33.44527778, -112.0669444)",2000.2718,182.80261727777778,260.67,182.80261727777778
61,Baltimore Orioles,Atlanta Braves,"Washington, DC (Metropolitan Area)","Atlanta, GA (Metropolitan Area)",170.84,"(39.28388889, -76.62166667)","(33.73527778, -84.38944444)",576.8744,52.71991044444445,170.84,52.71991044444445
62,Baltimore Orioles,Baltimore Orioles,"Washington, DC (Metropolitan Area)","Washington, DC (Metropolitan Area)",,"(39.28388889, -76.62166667)","(39.28388889, -76.62166667)",0.0,0.0,0.0,0.0
63,Baltimore Orioles,Boston Red Sox,"Washington, DC (Metropolitan Area)","Boston, MA (Metropolitan Area)",173.57,"(39.28388889, -76.62166667)","(42.34638889, -71.0975)",358.0587,32.72258675,173.57,32.72258675
64,Baltimore Orioles,Chicago Cubs,"Washington, DC (Metropolitan Area)","Chicago, IL",195.53,"(39.28388889, -76.62166667)","(41.94833333, -87.65555556)",606.9501,55.468495250000004,195.53,55.468495250000004
65,Baltimore Orioles,Chicago White Sox,"Washington, DC (Metropolitan Area)","Chicago, IL",195.53,"(39.28388889, -76.62166667)","(41.83, -87.63388889)",603.9378,55.19320450000001,195.53,55.19320450000001
66,Baltimore Orioles,Cincinnati Reds,"Washington, DC (Metropolitan Area)","Cincinnati, OH",181.25,"(39.28388889, -76.62166667)","(39.0975, -84.50666667)",422.4416,38.606468444444445,181.25,38.606468444444445
67,Baltimore Orioles,Cleveland Guardians,"Washington, DC (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",200.33,"(39.28388889, -76.62166667)","(41.49583333, -81.68527778)",307.2084,28.075434333333334,200.33,28.075434333333334
